id,text,true_label,pred_label,p_positive,error_type
ARAL_6540,"The Kuwait Fund for Arab Economic Development (KFAED) and Tajikistan's Ministry of Finance have signed a loan agreement worth $16.7 million to support the construction of the Rogun Hydroelectric Power Plant (HPP), Trend reports.
The agreement was signed by Tajikistan's finance minister, Faiziddin Kahhorzoda, and KFAED Director General Waleed Albahar.
The total funding provided by the Kuwait Fund for the Rogun project amounts to $100 million, which will be disbursed in six phases, with each installment allocated through separate agreements.
The Rogun HPP, located on the Vakhsh River, is a 3,600 MW hydroelectric facility currently under construction. The project will consist of six units, each with a capacity of 600 MW. Two units are already operational, with a third expected to come online by 2025. Upon completion, the plant is projected to generate over 17 billion kWh annually, significantly boosting Tajikistan's energy capacity.

Load-Date: January 16, 2025",Y,N,0.47999117,false_negative
ALSK_21586,"Asian carps have arrived in the Great Lakes but so far haven't established reproducing populations.
Government and agencies in Canada and the United States have put priority on preventing them from doing so.
Lauren Tonelli, Asian carp project manager at the Invasive Species Centre, based in Sault Ste. Marie, said four species of carp concern local and international researchers: bighead, silver, grass, and black.
""All four of these species are native to China and southern Russia, but were brought to North America for use in aquaculture,"" Tonelli told Sault This Week.
Marc Gaden, communications director at the Great Lakes Fishery Commission, a binational research and control agency, explained how the carp went from their use in aquaculture to North American waterways.
""Back in the 70s, it was actually kind of de rigueur to find natural, environmentally friendly ways to control things like algae and reeds and stuff like that, so these fish were raised in fish hatcheries down in the deep southern United States to keep their aquaculture tanks clean,"" Gaden said, comparing the practice to that of fish hobbyists tossing a sucker into a fish tank to help keep it clean.
He pointed out the fish would often end up sold in Asian food markets.
""Well, where do you place a fish farm,"" Gaden continued. ""You place it next to a river, because you need lots of water.""
When the rivers then overflow, as often happens, the fish farms become inundated with water and the carp are allowed to escape into the public waterways, he said.
The carp thrived in the Mississippi River system and kept moving northward, as a result of these escapes.
Gaden added, grass carp are often kept in ponds, in subdivisions or golf courses for example, to keep them free of unwanted vegetation, but only in sterile form. Researchers believe that many of the livecaught grass carp are escapees or releases of these fish.
Despite some captures of live carp, both Tonelli and Gaden emphasize that so far, none of the four carp species have become established in the Great Lakes.
""Only three bighead carp were found, all in western Lake Erie, between 2000 and 2003, and are believed to have been intentionally released,"" said Tonelli.
""Of the grass carp specimens, there have been approximately 23 single captures since 2012 in the waters or tributaries of Lake Huron, Lake Ontario, and Lake Erie.""
Tonelli pointed out ""There is no evidence that there is a breeding population"" of grass carp within the Great Lakes, but added, researchers have recently found evidence of natural reproduction of the species in the Sandusky River.
To keep a close eye on carp populations and potential breeding in Canada, ""Fisheries and Oceans Canada has an extensive monitoring program that searches specifically for Asian carps to ensure that they are aware of any potential individual that may be in Canadian waters,"" Tonelli said Although some might believe a few fish found here and there in bodies of water as big as the Great Lakes shouldn't be of major concern, Gaden, who works from the commission's secretariat in Ann Arbor, Mich., quashes this idea.
""As few as 10 males and 10 females in a river system could be enough to establish a population,"" he said, referencing the findings of a binational carp risk assessment headed by Fisheries and Oceans Canada.
""So in other words, efforts at prevention need to be basically at 100 per cent. You can't just let a few in.""
An established population would have major implications for the local ecosystem, he said.
""Asian carps are voracious consumers and outcompete native fishes for food and habitat resources.
""Silver and bighead carp can eat up to 20 per cent of their body weight in phytoplankton and zooplankton, which make up the basis for the aquatic food web,"" he said.
""Grass carp consume large quantities of aquatic vegetation which can destroy wetlands, increase water murkiness, and reduce spawning and cover habitats for native fishes.
""Black carp could destroy the native mollusk population in the Great lakes and in turn cause a decrease in native species that rely on mollusks as their main food source, such as the lake sturgeon, which is a species at risk.""
In other words, ""They're basically pulling the rug out from the bottom of the foodweb,"" Gaden said.
This puts many native fish species at risk, and in turn will decrease commercial and recreational fishing opportunities, impacting jobs and revenues, as well as impacting avian habitat and populations, such as ducks.
Tonelli said Asian carp is a threat the federal government takes very seriously.
""The Canadian government has spent $17.5 million over the past five years to prevent and detect Asian carps in the Great Lakes.
""In the 2017 federal budget, $43.8 million was given to Fisheries and Oceans Canada to combat aquatic invasive species, a portion of which will be for Asian carp response and control,"" said Tonelli.
Efforts are being made in the U.S. to prevent the carp from making their way from the Mississippi River into the Great Lakes as well.
Gaden explained, much of the reason the carp could make it from the southern U.S. into the Great Lakes in the first place was the destruction of a natural barrier at the Chicago River in the late 19th century, so the United States Army Corps of Engineers is looking into ways to close off that pathway again.
However, the cost for that will run in the billions of dollars, said Gaden, so the funding for that project has not been committed.
Despite the challenges, both Tonelli and Gaden are happy with the level of co-operation between all the organizations involved in Asian carp control and are optimistic for the future.
""With the recommitment of the federal government to fund aquatic invasive species, we expect that there will be continued prevention, response, and control of Asian carps in the Great Lakes,"" said Tonelli.
""We hope Canada, the provinces, and our U.S. partners will continue to work together to help protect the Great Lakes from all aquatic invasive species.""

Graphic

 
John Flesher, Associated Press Photo; In this file photo, Asian carp, jolted by an electric current from a research boat, jump from the Illinois River near Havana, Ill. The U.S. Army Corps of Engineers released a draft report earlier this year outlining US $275 million in new defences to prevent the fish from reaching the Great Lakes. Among proposals are underwater noise and powerful water jets.; 

Load-Date: November 30, 2017",Y,N,0.21883628,false_negative
,"The U.S. Department of the Interior's U.S. Fish & Wildlife Service issued the following news release:
The U.S. Fish and Wildlife Service recently awarded $1,000,000 to the Wisconsin Department of Natural Resources to support the acquisition of 468 acres of coastal wetlands adjacent to Lake Michigan in Door County, Wisconsin. The federal funds are provided through the 2010 National Coastal Wetlands Conservation Grant Program, and will supplement $ 1,001,300 in non-federal contributions from the State's Knowles- Nelson Stewardship Program and project partners including The Nature Conservancy and Door County Land Trust.
""This area provides important habitat for coastal fish and wildlife, including two Federally-listed species,"" said Tom Melius, Midwest Regional Director of the U.S. Fish and Wildlife Service. ""These grants allow us to work with our partners to conserve coastal wetlands in the Great Lakes region, and the fish and wildlife that inhabit this treasured part of our country.""
The federal funding is part of more than $19.2 million to support 25 conservation projects benefiting fish and wildlife on more than 6,100 acres of coastal habitat in 11 states through 2010. The federal grants will be matched by nearly $26 million in partner contributions from state and local governments, private landowners and conservation groups.
The National Coastal Wetlands Conservation Grant Program is administered by the U.S. Fish and Wildlife Service and funded under provisions of the 1990 Coastal Wetlands Planning, Protection and Restoration Act. Funding is provided by Sport Fish Restoration Act revenue - money generated from an excise tax on fishing equipment and motorboat and small engine fuels.
Including the 2010 grants, the Service has awarded nearly $240 million to coastal states and territories since the program began in 1992. When the 2010 projects are complete, over 260,000 acres of habitat will have been protected, restored or enhanced.
A complete list of projects funded by the 2010 grant program can be found online at: http://www.fws.gov/coastal/CoastalGrants/index.html.
Copyright Targeted News Services
TNS MD66-MD66 100107-2558453 61MariaDonald

Load-Date: January 7, 2010",Y,N,0.099820666,false_negative
,"The European Union has launched an investigation into a prized Spanish wetland that has turned bone dry through mismanagement of water resources and is now on fire underground, white smoke now rising from areas where fish once swam.
The EU wants the Spanish government to explain how it plans to save Las Tablas de Daimiel National Park in the central Castilla-La Mancha region, European Commission spokeswoman Barbara Helfferich told The Associated Press on Thursday.
The park, one of Spain's few wetlands, is classified as a UNESCO biosphere site and an EU-protected area because of its birdlife.
But it has been drying up for decades, largely because of wells dug by farmers on the edges of the park to tap an aquifer that feeds the wetland's lagoons. Many of the wells are illegal. Environmentalists call this case a particularly glaring example of how a natural resource can be abused.
In August, intense summer heat and parched soil caused the peat just under the surface of the soil to spontaneously ignite. Now, several areas of the park are on fire underground and white smoke seeps out of deep cracks in the parched soil.
""We have seen a situation where there is continuous degradation of territory,"" Helfferich said from Brussels.
The EU told the Spanish government about its investigation last week and Spain has 10 weeks to explain how it plans to respond to the crisis, Helfferich said.
""Underground fires at the moment cannot be extinguished,"" she said, adding that the 27-nation bloc has asked Spain how it plans to deal with it.
In a worst-case scenario, the EU could punish Spain with a hefty fine if it deems that the government's management of the wetlands was insufficient.
Josep Puxeau, the Environment Ministry's top official on water issues, said the government has an emergency plan to pump in torrents of water from a river to put out the fires and restore the acquifer.
It will also continue with a policy of buying up land and farms outside the park to halt water being drawn from wells, he told reporters.
The park lies 90 miles (150 kilometers) south of Madrid. Not all of it is wetland. The area capable of holding water covers about 4,500 acres (1,800 hectares) but less than 1 percent of that actually has water.
Park ranger Jesus Garcia Consuegra, who grew up in the area, remembers lusher times. He would go fishing there as a boy, venturing out at night in a rowboat equipped with a lantern to draw fish to the surface.
""It was so clear you could see to the bottom. You could see the fish there. You could watch them and it was simply marvelous,"" he said in a documentary on the park's Web site.
Jose Manuel Hernandez, spokesman for the environmental group Ecologists in Action, placed the blame for the wetland's demise squarely on excessive use of underground water tables for irrigation. He said climate change has nothing to do with the problem because La Mancha is dry anyway and rain levels have not dropped that much.
Rather, the culprit is a government policy over the past 20 years that allowed farmers to shift from non-irrigated crops like olive groves and wheat to thirsty ones like grapes and melons, he told the AP.
The Guadiana River, for instance, which once flowed through La Mancha, has essentially vanished for this reason and peat fires like the ones in Las Tablas de Daimiel have been common in that riverbed for years.
""The Guadiana has been burning for 20 years,"" Hernandez said. ""People are just waking up now because the fires have cropped up in a national park.""
He called the idea of bringing in huge amounts of water to put out the fires and restore the acquifer a pointless stopgap measure: the land is so dry and the water table now so low that water brought in from outside will simply get sucked up by the soil and not reach the acquifer.
It is artificial to try to save a wetland this way, and better to manage the existing water more efficiently by cutting down on use of wells, Hernandez said.
""What we need to do is recover the dynamics of the ecosystem.""

Load-Date: October 23, 2009",Y,N,0.38306418,false_negative
ALSK_42388,"Speech to text transcript:1
parts Commission this building is an example of cooperation between two nations, it definitely takes back to the early 1900s and how the US and Canada were able to come up with a way of sharing the water in order to create hydro-electric facilities on both sides of the border, so there were power plants built on both sides but the plants work in conjunction with each other so this comedian facility actually ran cables underneath the bridge to the power plant on the us side and helped provide to steal his cast iron, but is also a lot of grass all the railings in here grass there's copper everywhere just soooo much of the north-east stand United States and on Terrio came to rely on the power generated by the falls it supplied heavy industry in Buffalo and American Niagara but it was a thirsty business damage fallen again There is a treaty between kind of us they agree that we're going to do is the birch night rivers water in, tunnels and pipes for hydroelectric develop its not what it's like to go to work because I can look at him that tourism so shrink Maghull which is all about reshape it to give the is having the same amount of why it's true the falls You see today are not quite the one's father help and held and if you don't believe Daniel is the man responsible for reporting how much water goes over the falls every hour Richard no here hydro-electric operating supervisor at on Terrio power generation determine that once the sun goes down. 
He was okay to reduce the for slow for tourism during that period. We provide a minimum of 28 32 cubic metres per second over the falls and that ensures that we preserve the natural beauty of nega halls for tours. And so, at the international neck control works we can coordinate, ensure that the Crestline of black holes is even and enjoyed for all the visitors to come to this area that night one, It's not as noticeable. That's when we can die for the Nagra river to the Hydro electric generating stage since and reduce the possible by half the manipulation of the Fall's doesn't sit well with everybody, including the born and bred mare of us Nagra Robert Cristiano, I know that there are times in the year when the waters lower. It's hard to explain to my granddaughter, Yeah, somebody with dials sort of figure out when the water goes when the water doesn't go as a positive coming and saying, is this nature is just a flowing over You know the purest in me is disappointed but it's inevitable. It's a complex and sophisticated business written into Treaty but helped along by warm personal relationships. It is a wider metaphor for how the border operates here listening to on the border with me to Martial on the BBC world service were in Niagara falls to communities, separated by a sophisticated and highly functional border one between the US and Canada. The movie Niagara and dozens of films and TV shows featuring the falls in the 19 fifties and sixties fix them as American she saying of love justice she live more lot like a Laura live flaunting her charms anointed by Hollywood it obscured the fact of a Canadian anger at all. People haven't been there probably still think of it as American today but it isn't not really my dear daddy, You know, back in the 50s. They had over 100000 people 70 plus years later their less than half, and were at about 100000 so they need some bad this is and years ago, what do they do what did you write during the industrial revolution. They opened up an awful lot of clients in a lot of them were damping directly into the river. They were a victim of their success of the industry. At one time. That was one of the nation's future the booming heavy industry of the 20th century took from the falls and enrich the new York side, but now they are gone. Today it's a rust belt. They still have the falls. But that's another story may arrested and no in the 40s and 50s and 60s now reforms in York. It was an engine of manufacturing and that much attention was placed into the tourist industry. Our friends to the North were developing in entertainment in traction in tourism industry to ask in here and the side it was Sir just stumbling along that your people are coming here anyway, so what's the difference that recognising there was more to it than just there. So what happened to turn Niagara on Tauriel from an obscure town of 20019 61 to a bustling, one

Load-Date: October 11, 2022",Y,N,1.9525884e-05,false_negative
RHON_1532,"Bangladesh, April 24 -- The sight of dead fish, other aquatic creatures and even ducks floating in their hundreds on wetland water in Sunamajanj is simply foreboding. Early media reports linking the mass death with ammonia produced from rotten paddy in the submerged area have already been dismissed, terming it misleading. This can happen in a small water body unconnected to any other water channel. But when flash floods have inundated large areas of Sunamganj, such a possibility is ruled out. This area experienced similar natural calamities before but on no occasion did fish, frogs, leeches and ducks embrace deaths, let alone on an epidemic scale.
A report carried in a contemporary has hinted at a possible link between the deaths of aquatic life forms in the water bodies there and the release of uranium in the river system across the border. Earlier the Ranikor River in the West Khasi Hills experienced a similar mass extermination of fish when its water marked a change in colour. The tribal people there suspect that the open-pit mining for uranium in their area was responsible for this. Hundreds of pits abandoned after drilling and extraction of uranium are suspected to be the source of contamination of the upstream Ranikor River. Flash floods may have carried the contaminated water into the water bodies on the Bangladesh side.
A radioactive element, uranium powers nuclear reactor and atomic bombs. Extreme caution is required for handling this heavy metal but in the case of mining in the Indian part of Khasi region, no such caution seems to have been taken after the drilling. The Khasi people have protested the indifference to safe mining practices there and demanded closure of the hundreds of pits left open.
Now the cause of the death of fish in Ranikor River across the border and in the water bodies in Sunamganj is unlikely to be different. Had the fish in the water bodies of Bangladesh died before the Ranikor incident, it would be possible to conclude that there was no link between the two incidents. Since the Sunamganj disaster follows the Ranikor contamination and its consequences, there is little doubt about any connection between them.
There is no harm in looking for as precious an element as uranium which is used in nuclear reactor for production of power. But its unsafe use can prove disastrous. The Chernobyl nuclear plant accident and the Fukushima plant disaster have shown the world how apocalyptic the destructive power can be. Any naivety on the part of the mining company in the rugged Khasi pocket may have consequences of unimaginable proportion both for the inhabitants there and people living in the lower riparian Bangladesh region.
A probe by an international expert team is warranted in this case. Release of as powerful and dangerous a material as uranium into the river and water system will have long-term adverse impact not only on aquatic lives but also on human health and their livelihoods for generations.
If it is proved that uranium is not the killer agent, the focus should be on to finding out the real cause of death of fish, insects and birds in the haor water. Different government agencies either in India or Bangladesh have failed to respond promptly to collect the contaminated water for carrying out test in order to determine the agent responsible for the disaster. It is a grave matter and it should be treated with equal importance.
Published by HT Digital Content Services with permission from The Financial Express. For any query with respect to this article or any other content requirement, please contact Editor at htsyndication@hindustantimes.com

Load-Date: April 24, 2017",Y,N,0.21733752,false_negative
LKCH_44770,"The African Development Bank Group and the Lake Chad Basin Commission have signed a Memorandum of Understanding to rehabilitate and restore the Lake Chad Basin.
The agreement, signed on the sidelines of the 37th African Union Summit held in Ethiopia, will mobilise financial and technical resources to improve the development and management of water resources, support livelihoods and restore peace in the region.
Lake Chad, once considered the sixth-largest inland water body on earth for livelihood, has shrunk in area by some 92% in recent decades. The larger Chad Basin contributes to food security for about 50 million people.
""The population living in this ecosystem are facing major socio-economic challenges - add to that the insecurity situation due to terrorist groups which brings loss of livelihood, destruction of households, forced internal displacements and beyond our national frontiers,"" said Republic of Chad Minister of Water, Passalet Kanade Marssela.
African Development Bank Vice President for Regional Development, Integration and Business Delivery, Marie-Laure Akin-Olugbade, told dignitaries and sector leaders in water and agriculture at the signing ceremony that the agreement provides a framework for projects and programs to improve the quality of life for millions of Africans.
""This Memorandum of Understanding involves transforming living conditions in the hydrographic basin of the six member countries of the Lake Chad Basin Commission, namely Chad, Nigeria, Cameroon, Niger, the Central African Republic and Libya. As the main financial partner of the Commission for several years, we will consolidate the gains made, through a new integrated regional programme that accelerates sustainable solutions to the challenges of Lake Chad and further improves the living conditions of the basin's population,"" she said.
The Lake Chad Basin Commission named the African Development Bank the ""Champion Lead Partner for resource mobilization for the revival of the Lake Chad.""
Ambassador Mamman Nuhu, Executive Secretary of the Lake Chad Basin Commission said:
""Our shared goal is to ensure the sustainability of the Lake Chad Basin, especially the Lake, which has dramatically shrunk due to climate change and increased human demands. This...is a manifestation of our commitment to ensuring water security, economic prosperity, and stability in the region. It is an integral part of our shared goal to build climate resilience and sustainable growth.""
The African Development Bank has a track record of impactful support for the Lake Chad Basin Commission and its goals. Since 2005, the Bank has financed $241.3 million for several multinational projects in the water, transport, environment, and social sectors.
Recently, the Bank approved $17.8 million for a United Nations Development Progamme initiative, ""Rompre le cycle de fragilité à travers la stabilization au lac Tchad"" (""Breaking the cycle of fragility through stabilization in Lake Chad""). This initiative is expected to raise up to $21.5 million in additional financing from partner organizations.
The Bank is also developing a multi-year institutional capacity building program to strengthen the Lake Chad Basin Commission to carry out in-depth environmental, technical and economic studies that will inform solutions, decision-making, and financing requirements for Basin restoration. In addition, the Bank's African Water Facility is financing the development of the second, five-year investment plan to build a pipeline of projects for the sustainable and beneficial use of water resources in the basin, as well as prepare the groundwork for further investments.

Load-Date: February 20, 2024",Y,N,0.23231015,false_negative
ARAL_14196,"Within the framework of the project of the Regional environmental center of Central Asia (CAREC) “Water, education and cooperation” (Smart Waters), funded by the US Agency for international development (USAID), a demonstration day of the projects participating in the start-up acceleration program Water Solutions Innovation Lab was held. Ten projects were presented within the demo-day and two top were selected. The main prize for them will be a trip in November 2019 to Amsterdam for the final of the international competition of ""green"" business ideas ClimateLaunchpad-2019. – Smart Waters project is implemented in Uzbekistan in cooperation with the Ministry of water management of Uzbekistan and Tashkent Institute of irrigation and agricultural mechanization engineers. The project has been implemented since 2015 in six countries of Central Asia and Afghanistan, but such an innovative laboratory Water Solutions Innovation Lab or, as we call it, ID-Lab, has been created only in Uzbekistan. 
It was our trial run. We wanted to see how it would work, how actively young people would be involved. What we see today is the result of six months of work. Guys all this time, conducted research, honed your ideas, implement them in life, – says the project Manager of the Smart Waters (CAREC) Yekaterina Strikeleva (Almaty). This start-up program is conducted on the basis of the Innovation and research cluster of CAREC by experts of the consulting company Green Business Innovation in cooperation with the international program Climate Launchpad. Startup accelerator Water Solutions Innovation Lab is created to support and develop business ideas and projects of students, young scientists, entrepreneurs in the field of water conservation, renewable energy, water supply in agriculture, energy efficiency and other ways to solve climate change problems. At the Demo Day, the teams-participants of the startup acceleration program Water Solutions Innovation Lab made presentations of the results of their projects achieved through training and mentoring support since March 2019 within the acceleration program. – This is the first initiative in Central Asia. Together with CAREC we have developed the concept of accelerator implementation. We managed to combine our experience with the international one, to combine the programs of Smart Water Solutions Innovation Lab (CAREC) and Clamed watch, which is considered the largest technological international accelerator, — says Saida Yusupova, Director of Water Solutions Innovation Lab. As it was noted at the event, participation in the accelerator is not an opportunity to enlist financial support, but an opportunity to get interaction, to see and understand how others work. If we talk about innovations, it is necessary that Uzbek projects, startups leave, see the expertise, including international. All participants passed two stages of acceleration. The main goal of the project is to attract the attention of young scientists and businessmen to the project, to teach them to implement business innovations, as well as to help them acquire skills that will allow them to implement developments in the future. Many participants, coming out of the laboratory ""on the field"", made significant changes in their development to their product was sold. If this product does not solve any problem of the buyer, it will not be in demand in the market. This is the mechanism of working with the product on the market. According to the results of presentations at Demo Day, the expert commission chose 2 best start-ups – VIOM (1st place) and Proteus (2nd place), which received prize certificates for a trip to Amsterdam in November 2019 for the final of the international competition of ""green"" business ideas ClimateLaunchpad-2019. All other teams-participants of the startup acceleration program Water Solutions Innovation Lab were awarded with commemorative certificates and statuettes.

Load-Date: September 9, 2019",Y,N,0.37857398,false_negative
ALSK_40384,"The Union of British Columbia Indian Chiefs issued the following news release on Sept. 8, 2021:
Yesterday at noon, two Indigenous women began a 4-day traditional ceremonial fast on the banks of the Fraser River. Kukpi7 Judy Wilson, Chief of Neskonlith and Secretary-Treasurer of the Union of BC Indian Chiefs, and Sara Cadeau, Anishinaabe Kwe, Community Organizer and Traditional Wellness Practitioner, are sitting at the site where Trans Mountain proposes to drill under the Fraser River, along with a sacred fire and a community of supporters.
After a summer of deadly heat waves and smoke-filled skies, the Indigenous fasters are calling for cancellation of the Trans Mountain expansion (TMX) pipeline. The project has become a hot button issue during the federal election, as a symbol of the contradiction between heavily biased government/oil industry pro-pipeline rhetoric and grassroots-led defensive climate crisis actions on the ground. The fasters have requested river-side meetings with local election candidates from all parties.
Fasters are bringing prayers and taking action now because Trans Mountain has received a permit to divert 26 million litres of Fraser river water. This is addition to drilling a 1.5-kilometre tunnel underneath the river to build the tar sands pipeline.
""Trans Mountain's plan to drill beneath the Fraser River represents a violent assault upon a sacred waterway that is the heart of our culture heritage- the largest salmon bearing river in the country that sustains life and strengthens our vital connections to the water, lands, and ecosystems that we have stewarded over since time immemorial,"" stated Kukpi7 Judy Wilson. ""There are already approximately 84,000 kms of oil and gas pipelines in Canada, and the TMX pipelines are being placed along the Fraser River and other key waterways. Time and time again, Canada and Trans Mountain have infringed upon and disregarded the Title, Rights, and Free, Prior and Informed Consent of First Nations, choosing to instead prioritize an unwanted, environmentally destructive pipeline that will only push us closer to the brink of our dire global climate crisis. Without our rivers, life will not exist. Oil extraction has a considerable impact upon all people, and spills of diluted bitumen pose particular challenges when they reach our rivers and water bodies. In addition, man camps on these sites pose a serious and real threat to our women, our children, and our lands. Our four-day ceremonial fast allows us to fulfill our critical, sacred responsibility to ourselves, our ancestors, and our descendants to honour and protect our lands and waters. We offer our prayers for healing, for change, and for governments and industries to realize that they also share an inherent responsibility to protect our salmons, whales, ecosystems, and ways of life. Water is like our grandmother, and she sustains all life. Trans Mountain, if allowed to continue, will have devastating and irreversible impacts on water, salmon, Indigenous culture, and the future of all life on earth. We are asking Canada to cancel TMX now, while it is less than one third complete, and before it is too late.""
The Spirit Fast site is adjacent to Colony Farms Regional Park, where 11 acres of wildlife habitat were recently destroyed in order to lay out the pipe horizontally before the drilling. In spite of the large-scale public and municipal opposition, Trans Mountain was granted permission under ""Federal Paramountcy.""
""Call it Federal Paramountcy, call it what you want, it is the continued destruction of our only home for the profit of a few and with danger to all. Putting this pipeline through parks, communities, and Indigenous territories where it is unwanted is a precise example of ongoing colonial State Violence against the land and its people,"" states Sara Cadeau. ""We have lost our way, and this is so evident in our relationship with water. Water is not a resource. It is THE SOURCE of all life and is by far our most valuable collective, and finite, treasure. The Fraser River didn't give consent for this pipeline, nor did the hereditary and traditional governance systems of all the lands this river moves through. Neither did the ocean this river flows into, nor the whales or the salmon who depend on this river's good life cycles to survive. It is our job as two-leggeds -- as people who live by this river -- to ensure her continued safety and protection. I will be following Anishinaabe teachings on the importance of water and the importance of prayer. We are fasting to bring your attention to sacred water, and to bring our love and prayers, and to work together to protect her. Our request? Colonial Canada: cancel TMX.""
Further to concerns over the permit to divert millions of litres of water, land protectors are outraged that horizontal drilling under one of the greatest salmon rivers in the world is permitted during the autumn migration. The Fraser River is known as one the greatest salmon rivers in the world, and the Trans Mountain project poses a profound threat to the health of the river and the ecosystems, culture and economies that rely upon it.
The Spirit Fast began at noon on Tuesday, September 7 with a traditional Indigenous Ceremony at Maquabeak Park. The fasters will be in silence after noon on Tuesday until noon on Friday.
The Spirit Fast is supported by a traditional Sacred Fire, as well as a large network of supporters, including Dogwood, BROKE, Protect the Planet STOP TMX, and others. Hearts and minds will be united in prayers for the waters, and for all of life. The event follows on from the Save the Fraser Water Ceremony led by Elder Minnie Kenoras in May of this year at the same location, in partnership with Dogwood.
[Category: International]
Copyright Targeted News Services
MSTRUCK-7595565 MSTRUCK

Load-Date: September 9, 2021",Y,N,0.37937838,false_negative
LKCH_11704,"The Lake Chad Basin Commission has made an appeal for over 8 billion Cefas (approx. 2 billion naira) to fund the activities of the Multinational Joint Security Forces formed to fight insurgency in the region.
Speaking to Chiefs of Defence staff from member states in Abuja, the Executive Secretary of the Commission, Mister Sanusi Imran Abdullahi  said the money will be used to meet urgent needs of small equipment, and troop welfare in the ongoing fight against terrorism.
Nigeria's Chief of Defence Staff, Air Marshal Alex Badeh says  such cooperation with member states is key to stopping terrorism.

Load-Date: November 25, 2014",Y,N,0.0930168,false_negative
